name,availabilityVendorId,ordersVendorId
"SARAH MAZRO` PHARMACY, Ezbet El Shal",776027,62293
Sanad Markets,781976,63626
"Sanabel Market, Sidi Besher Bahary",740648,48611
"Sanabel Market, Abo Soliman",737423,46434
"Samir Pharmacy, 6th Of October - Dahshur Road.",691453,18802
"Samir Pharmacy, 6th Of October - Dahshur Road",691447,18801
"SAMIR & ALY, Zahraa El Maadi - Ashgar Darna - 1",772555,61603
"Samir & Aly, Tagammoa 5 - North Investors-2",707615,22128
"Samir & Aly, Tagammoa 5 - Banks Center",709049,23193
"Samir & Aly, Shebeen El Kom Street",709052,23436
"Samir & Aly, Semouha - Victor Emanouil",707614,22120
"Samir & Aly, New Maadi - El Nadi El Gedid",707613,22126
"SAMIR & ALY, Nasr City - Hassan ElMa`moun",772554,61601
"SAMIR & ALY, Nasr City - El Hadeeqa El Dawlia",707593,22131
"SAMIR & ALY, Mokattam - Centeral El Mokattam",709050,23179
"Samir & Aly, Mohandesin - Jazerat El Arab",709047,23189
"SAMIR & ALY, Madinaty",772556,61602
"Samir & Aly, Heliopolis - Merryland 2",707612,22079
"Samir & Aly, Giza - Giza Square",709045,23192
"SAMIR & ALY, El Shorouk - 9th District",707611,22127
"Samir & Aly, El Rehab City 1",707608,22132
"Samir & Aly, El Obour - Golf Area",707609,22125
"Samir & Aly, El Kothar",709038,23636
"Samir & Aly, Downtown - Talaat Harab",709043,23178
"Samir & Aly, Dokki - Michel Bakhum",707606,22123
"Samir & Aly, Abassya 3",709048,23321
"Samir & Aly, 6th of October - West Somed",707605,22119
"Sami Pharmacy, El Sheikh Zayed - El Hay 2",719277,33932
"Salwa Thabet Pharmacy, Zahraa El Maadi - Becho American -1",743450,50534
"salsabeel market shop, 10th of Ramadan - 10th District",695624,19091
"Salma Pharmacy, 6th of October - 8th District",703288,20063
"Salma Pharmacy,  6th of October - 8th District",769695,61288
"Sally Pharmacies, Talkha 1",781538,63734
"Sally Pharmacies, Tagammoa 5 - Lake View",755693,59718
"Sally Pharmacies, Tagammoa 5 - 90 St. Companies - 2",788886,64687
"Sally Pharmacies, Meet Hadar",783799,63845
"Sally Pharmacies, Heliopolis - Merryland 2",755694,59717
"Sally Pharmacies, El Thanaweya",781537,63735
